time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,77,24,3,2
2026-04-23 00:00:00+00:00,66,19,7,2
2026-04-24 00:00:00+00:00,89,26,0,0
2026-04-25 00:00:00+00:00,35,18,1,1
2026-04-26 00:00:00+00:00,17,7,1,1
2026-04-27 00:00:00+00:00,10,4,2,2
2026-04-28 00:00:00+00:00,37,10,0,0
2026-04-29 00:00:00+00:00,41,11,0,0
2026-04-30 00:00:00+00:00,11,5,0,0
2026-05-01 00:00:00+00:00,26,6,1,1
2026-05-02 00:00:00+00:00,43,11,0,0
2026-05-03 00:00:00+00:00,36,13,0,0
2026-05-04 00:00:00+00:00,43,15,4,2
2026-05-05 00:00:00+00:00,21,5,0,0
